"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count","fishersPValue","pAdjusted"
"JUMBO BAG PEARS + JUMBO BAG VINTAGE DOILY + JUMBO BAG VINTAGE LEAF","JUMBO BAG APPLES",0.01007,0.7931,0.0127,14.84875,184,0,0
"CHARLOTTE BAG PINK POLKADOT + PACK OF 72 RETROSPOT CAKE CASES","RED RETROSPOT CHARLOTTE BAG",0.01182,0.83721,0.01412,14.82396,216,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG SPACEBOY DESIGN","RED RETROSPOT CHARLOTTE BAG",0.01062,0.83621,0.0127,14.80621,194,0,0
"RED RETROSPOT CHARLOTTE BAG + STRAWBERRY CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.0179,0.67284,0.0266,14.7774,327,0,0
"LUNCH BAG RED RETROSPOT + RED RETROSPOT CHARLOTTE BAG","STRAWBERRY CHARLOTTE BAG",0.01259,0.58376,0.02156,14.77421,230,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG CARS BLUE","RED RETROSPOT CHARLOTTE BAG",0.01149,0.83333,0.01379,14.75533,210,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG RED RETROSPOT","STRAWBERRY CHARLOTTE BAG",0.011,0.58261,0.01888,14.74516,201,0,0
"REGENCY TEA PLATE PINK","PINK REGENCY TEACUP AND SAUCER",0.01023,0.61311,0.01669,14.74138,187,0,0
"GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER","ROSES REGENCY TEACUP AND SAUCER",0.02961,0.85601,0.03459,14.72874,541,0,0
"JUMBO BAG PEARS + JUMBO BAG RED RETROSPOT","JUMBO BAG APPLES",0.01248,0.78621,0.01587,14.71963,228,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG  BLACK SKULL.","RED RETROSPOT CHARLOTTE BAG",0.01231,0.83026,0.01483,14.70088,225,0,0
"CHARLOTTE BAG APPLES DESIGN + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01171,0.82946,0.01412,14.6867,214,0,0
"CHARLOTTE BAG SUKI DESIGN + STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG APPLES DESIGN",0.01062,0.46747,0.02271,14.65193,194,0,0
"LUNCH BAG CARS BLUE + WOODLAND CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01012,0.70342,0.01439,14.62302,185,0,0
"LUNCH BAG SUKI DESIGN + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01231,0.70312,0.01751,14.61684,225,0,0
"CHARLOTTE BAG PINK POLKADOT + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01779,0.82278,0.02162,14.56855,325,0,0
"LUNCH BAG CARS BLUE + STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01023,0.70037,0.01461,14.55966,187,0,0
"CHARLOTTE BAG SUKI DESIGN + RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.01839,0.66272,0.02775,14.55519,336,0,0
"RED  HARMONICA IN BOX","BLUE HARMONICA IN BOX",0.01729,0.48024,0.03601,14.55304,316,0,0
"BLUE HARMONICA IN BOX","RED  HARMONICA IN BOX",0.01729,0.52405,0.033,14.55304,316,0,0
"PACK OF 72 RETROSPOT CAKE CASES + RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.0116,0.6625,0.01751,14.55032,212,0,0
"PINK REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER","ROSES REGENCY TEACUP AND SAUCER",0.01811,0.84439,0.02145,14.52872,331,0,0
"SWEETHEART CERAMIC TRINKET BOX","STRAWBERRY CERAMIC TRINKET BOX",0.01828,0.65619,0.02786,14.51639,334,0,0
"STRAWBERRY CERAMIC TRINKET BOX","SWEETHEART CERAMIC TRINKET BOX",0.01828,0.40436,0.0452,14.51639,334,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG SUKI DESIGN","RED RETROSPOT CHARLOTTE BAG",0.01127,0.81746,0.01379,14.47428,206,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG SUKI DESIGN","STRAWBERRY CHARLOTTE BAG",0.01045,0.57186,0.01828,14.47303,191,0,0
"GARDENERS KNEELING PAD CUP OF TEA","GARDENERS KNEELING PAD KEEP CALM",0.02988,0.72127,0.04143,14.45146,546,0,0
"GARDENERS KNEELING PAD KEEP CALM","GARDENERS KNEELING PAD CUP OF TEA",0.02988,0.59868,0.04991,14.45146,546,0,0
"LUNCH BOX WITH CUTLERY RETROSPOT","STRAWBERRY LUNCH BOX WITH CUTLERY",0.01193,0.45228,0.02638,14.44852,218,0,0
"STRAWBERRY LUNCH BOX WITH CUTLERY","LUNCH BOX WITH CUTLERY RETROSPOT",0.01193,0.38112,0.0313,14.44852,218,0,0
"LUNCH BAG  BLACK SKULL. + WOODLAND CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01084,0.69474,0.0156,14.44246,198,0,0
"ALARM CLOCK BAKELIKE CHOCOLATE + ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE GREEN",0.01231,0.77055,0.01598,14.44125,225,0,0
"CHARLOTTE BAG SUKI DESIGN + WOODLAND CHARLOTTE BAG","CHARLOTTE BAG APPLES DESIGN",0.01149,0.46053,0.02495,14.4343,210,0,0
"JUMBO BAG PEARS + JUMBO BAG VINTAGE LEAF","JUMBO BAG APPLES",0.01324,0.7707,0.01718,14.42932,242,0,0
"LUNCH BAG  BLACK SKULL. + STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01067,0.69395,0.01538,14.42611,195,0,0
"CHARLOTTE BAG APPLES DESIGN + RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.01182,0.65653,0.018,14.41931,216,0,0
"LUNCH BAG CARS BLUE + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01155,0.6918,0.01669,14.38148,211,0,0
"LUNCH BAG RED RETROSPOT + WOODLAND CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01166,0.68932,0.01691,14.32987,213,0,0
"MINT KITCHEN SCALES","IVORY KITCHEN SCALES",0.01084,0.55462,0.01954,14.31441,198,0,0
"JUMBO BAG PINK POLKADOT + JUMBO BAG PINK VINTAGE PAISLEY + JUMBO BAG RED RETROSPOT","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.01018,0.63051,0.01614,14.31215,186,0,0
"RED RETROSPOT CHARLOTTE BAG + STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01828,0.68724,0.0266,14.28668,334,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG RED RETROSPOT","CHARLOTTE BAG PINK POLKADOT",0.01095,0.57971,0.01888,14.27634,200,0,0
"STRAWBERRY CHARLOTTE BAG + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.0179,0.80542,0.02222,14.26106,327,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG  BLACK SKULL.","WOODLAND CHARLOTTE BAG",0.01084,0.64918,0.01669,14.25778,198,0,0
"CHARLOTTE BAG SUKI DESIGN + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01828,0.80482,0.02271,14.25045,334,0,0
"JUMBO SHOPPER VINTAGE RED PAISLEY + JUMBO STORAGE BAG SUKI","JUMBO BAG TOYS",0.01166,0.40649,0.02868,14.22944,213,0,0
"JUMBO BAG APPLES + JUMBO BAG PEARS + JUMBO BAG VINTAGE DOILY","JUMBO BAG VINTAGE LEAF",0.01007,0.68401,0.01472,14.21957,184,0,0
"CHARLOTTE BAG PINK POLKADOT + CHARLOTTE BAG SUKI DESIGN","RED RETROSPOT CHARLOTTE BAG",0.018,0.80244,0.02244,14.2083,329,0,0
"ALARM CLOCK BAKELIKE CHOCOLATE","ALARM CLOCK BAKELIKE IVORY",0.01034,0.44159,0.02342,14.20625,189,0,0
"ALARM CLOCK BAKELIKE IVORY","ALARM CLOCK BAKELIKE CHOCOLATE",0.01034,0.33275,0.03108,14.20625,189,0,0
"STRAWBERRY CHARLOTTE BAG + WOODLAND CHARLOTTE BAG","CHARLOTTE BAG APPLES DESIGN",0.01007,0.4532,0.02222,14.20473,184,0,0
"TOY TIDY PINK POLKADOT","RECYCLING BAG RETROSPOT",0.01489,0.57996,0.02567,14.18683,272,0,0
"RECYCLING BAG RETROSPOT","TOY TIDY PINK POLKADOT",0.01489,0.36412,0.04088,14.18683,272,0,0
"LUNCH BAG CARS BLUE + RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.01078,0.6459,0.01669,14.18577,197,0,0
"LUNCH BAG  BLACK SKULL. + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01231,0.80071,0.01538,14.17772,225,0,0
"BAKING SET SPACEBOY DESIGN","BAKING SET 9 PIECE RETROSPOT",0.01828,0.72138,0.02534,14.174,334,0,0
"BAKING SET 9 PIECE RETROSPOT","BAKING SET SPACEBOY DESIGN",0.01828,0.35914,0.05089,14.174,334,0,0
"GREEN REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE GREEN","ROSES REGENCY TEACUP AND SAUCER",0.01095,0.82305,0.0133,14.16149,200,0,0
"PACK OF 72 RETROSPOT CAKE CASES + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01111,0.79921,0.0139,14.15117,203,0,0
"LUNCH BAG SPACEBOY DESIGN + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01023,0.79915,0.01281,14.14998,187,0,0
"ALARM CLOCK BAKELIKE CHOCOLATE + ALARM CLOCK BAKELIKE GREEN","ALARM CLOCK BAKELIKE RED",0.01231,0.81227,0.01516,14.13589,225,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG  BLACK SKULL.","CHARLOTTE BAG SUKI DESIGN",0.01007,0.67897,0.01483,14.11463,184,0,0
"ALARM CLOCK BAKELIKE PINK + ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE IVORY",0.01127,0.4383,0.02572,14.10038,206,0,0
"CHARLOTTE BAG APPLES DESIGN + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.0122,0.67781,0.018,14.09061,223,0,0
"ALARM CLOCK BAKELIKE GREEN + ALARM CLOCK BAKELIKE PINK","ALARM CLOCK BAKELIKE IVORY",0.01001,0.4378,0.02288,14.08433,183,0,0
"LUNCH BAG RED RETROSPOT + STRAWBERRY CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.01056,0.6412,0.01647,14.08242,193,0,0
"SET/6 RED SPOTTY PAPER CUPS + SET/6 RED SPOTTY PAPER PLATES","SET/20 RED RETROSPOT PAPER NAPKINS",0.0145,0.75714,0.01915,14.07454,265,0,0
"RED KITCHEN SCALES","IVORY KITCHEN SCALES",0.01609,0.54344,0.02961,14.02577,294,0,0
"IVORY KITCHEN SCALES","RED KITCHEN SCALES",0.01609,0.41525,0.03875,14.02577,294,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT","RED RETROSPOT CHARLOTTE BAG",0.01313,0.79208,0.01658,14.02487,240,0,0
"REGENCY CAKESTAND 3 TIER + ROSES REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER",0.02233,0.77714,0.02873,14.01849,408,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG TOYS","JUMBO BAG WOODLAND ANIMALS",0.01242,0.65988,0.01883,13.98846,227,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG SUKI DESIGN","CHARLOTTE BAG PINK POLKADOT",0.01034,0.56587,0.01828,13.93546,189,0,0
"JUMBO BAG PINK POLKADOT + JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO BAG TOYS",0.01018,0.39744,0.02561,13.91254,186,0,0
"ROSES REGENCY TEACUP AND SAUCER + WHITE HANGING HEART T-LIGHT HOLDER","GREEN REGENCY TEACUP AND SAUCER",0.011,0.77011,0.01428,13.89172,201,0,0
"LUNCH BAG RED RETROSPOT + STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.011,0.66777,0.01647,13.88195,201,0,0
"RED RETROSPOT CHARLOTTE BAG + WOODLAND CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01839,0.66535,0.02764,13.83149,336,0,0
"JUMBO BAG VINTAGE DOILY + JUMBO BAG VINTAGE LEAF","JUMBO BAG PEARS",0.0127,0.44961,0.02824,13.83126,232,0,0
"GREEN REGENCY TEACUP AND SAUCER + JAM MAKING SET WITH JARS","ROSES REGENCY TEACUP AND SAUCER",0.01144,0.80385,0.01423,13.83115,209,0,0
"HAND WARMER UNION JACK","HAND WARMER OWL DESIGN",0.01292,0.49372,0.02616,13.81595,236,0,0
"HAND WARMER OWL DESIGN","HAND WARMER UNION JACK",0.01292,0.36141,0.03574,13.81595,236,0,0
"JUMBO BAG RED RETROSPOT + ROSES REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER",0.01073,0.76562,0.01401,13.81073,196,0,0
"RED RETROSPOT CHARLOTTE BAG + STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG APPLES DESIGN",0.01171,0.44033,0.0266,13.80126,214,0,0
"LUNCH BAG CARS BLUE + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01138,0.77903,0.01461,13.79375,208,0,0
"GREEN REGENCY TEACUP AND SAUCER + REGENCY CAKESTAND 3 TIER","ROSES REGENCY TEACUP AND SAUCER",0.02233,0.80157,0.02786,13.79201,408,0,0
"CHARLOTTE BAG SUKI DESIGN + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG APPLES DESIGN",0.0122,0.43984,0.02775,13.786,223,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG PINK POLKADOT","RED RETROSPOT CHARLOTTE BAG",0.01067,0.77689,0.01374,13.75596,195,0,0
"LUNCH BAG ALPHABET DESIGN + LUNCH BAG APPLE DESIGN","LUNCH BAG VINTAGE LEAF DESIGN",0.01023,0.50134,0.02041,13.75525,187,0,0
"COOK WITH WINE METAL SIGN + PLEASE ONE PERSON METAL SIGN","GIN + TONIC DIET METAL SIGN",0.01001,0.60797,0.01647,13.74938,183,0,0
"CHOCOLATE HOT WATER BOTTLE + HOT WATER BOTTLE I AM SO POORLY","HOT WATER BOTTLE TEA AND SYMPATHY",0.01034,0.48214,0.02145,13.74446,189,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG CARS BLUE","RED RETROSPOT CHARLOTTE BAG",0.01155,0.77574,0.01489,13.73548,211,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT","CHARLOTTE BAG SUKI DESIGN",0.01095,0.66007,0.01658,13.72171,200,0,0
"PINK FAIRY CAKE CHILDRENS APRON","CHILDRENS APRON SPACEBOY DESIGN",0.01116,0.41296,0.02703,13.71988,204,0,0
"CHILDRENS APRON SPACEBOY DESIGN","PINK FAIRY CAKE CHILDRENS APRON",0.01116,0.37091,0.0301,13.71988,204,0,0
"CHARLOTTE BAG PINK POLKADOT + LUNCH BAG RED RETROSPOT","WOODLAND CHARLOTTE BAG",0.01034,0.62376,0.01658,13.69953,189,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG SPACEBOY DESIGN","RED RETROSPOT CHARLOTTE BAG",0.01045,0.77328,0.01352,13.69199,191,0,0
"LUNCH BAG SPACEBOY DESIGN + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01045,0.65862,0.01587,13.69167,191,0,0
"CHARLOTTE BAG PINK POLKADOT + RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.01779,0.62261,0.02857,13.67412,325,0,0
"LUNCH BAG RED RETROSPOT + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01417,0.65736,0.02156,13.66547,259,0,0
"LUNCH BAG  BLACK SKULL. + RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.01198,0.62216,0.01926,13.66432,219,0,0
"LUNCH BAG WOODLAND + WOODLAND CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01007,0.65714,0.01532,13.66095,184,0,0
"CHARLOTTE BAG PINK POLKADOT + JUMBO BAG RED RETROSPOT","RED RETROSPOT CHARLOTTE BAG",0.01182,0.77143,0.01532,13.65922,216,0,0
"GREEN REGENCY TEACUP AND SAUCER + JAM MAKING SET PRINTED","ROSES REGENCY TEACUP AND SAUCER",0.01105,0.79216,0.01396,13.63002,202,0,0
"JUMBO BAG PEARS + JUMBO BAG VINTAGE DOILY","JUMBO BAG APPLES",0.01472,0.72703,0.02025,13.61164,269,0,0
"LUNCH BAG  BLACK SKULL. + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01198,0.76842,0.0156,13.60597,219,0,0
"JUMBO BAG PINK POLKADOT + JUMBO STORAGE BAG SUKI","JUMBO BAG TOYS",0.01095,0.38835,0.02818,13.59446,200,0,0
"LUNCH BAG SUKI DESIGN + RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.01084,0.61875,0.01751,13.58945,198,0,0
"PACK OF 72 RETROSPOT CAKE CASES + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01144,0.65312,0.01751,13.57742,209,0,0
"JUMBO BAG RED RETROSPOT + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01111,0.76604,0.0145,13.56377,203,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG RED RETROSPOT","WOODLAND CHARLOTTE BAG",0.01166,0.61739,0.01888,13.5596,213,0,0
"CHARLOTTE BAG SUKI DESIGN + PACK OF 72 RETROSPOT CAKE CASES","RED RETROSPOT CHARLOTTE BAG",0.01144,0.76557,0.01494,13.55545,209,0,0
"ALARM CLOCK BAKELIKE GREEN + ALARM CLOCK BAKELIKE IVORY","ALARM CLOCK BAKELIKE RED",0.01423,0.77844,0.01828,13.54713,260,0,0
"PINK REGENCY TEACUP AND SAUCER","ROSES REGENCY TEACUP AND SAUCER",0.03273,0.78684,0.04159,13.53857,598,0,0
"ROSES REGENCY TEACUP AND SAUCER","PINK REGENCY TEACUP AND SAUCER",0.03273,0.56309,0.05812,13.53857,598,0,0
"LUNCH BAG RED RETROSPOT + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01259,0.76412,0.01647,13.5298,230,0,0
"PACK OF 72 RETROSPOT CAKE CASES + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.0116,0.76259,0.01521,13.50272,212,0,0
"LUNCH BAG SUKI DESIGN + STRAWBERRY CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01051,0.7619,0.01379,13.49059,192,0,0
"JUMBO BAG PINK POLKADOT + JUMBO SHOPPER VINTAGE RED PAISLEY + JUMBO STORAGE BAG SUKI","JUMBO BAG WOODLAND ANIMALS",0.01073,0.6343,0.01691,13.44622,196,0,0
"RED RETROSPOT CHARLOTTE BAG + WOODLAND CHARLOTTE BAG","CHARLOTTE BAG APPLES DESIGN",0.01182,0.42772,0.02764,13.40614,216,0,0
"JUMBO STORAGE BAG SUKI + RECYCLING BAG RETROSPOT","JUMBO BAG WOODLAND ANIMALS",0.01023,0.63176,0.0162,13.39222,187,0,0
"JUMBO BAG RED RETROSPOT + JUMBO BAG VINTAGE LEAF","JUMBO BAG PEARS",0.01012,0.43529,0.02326,13.39079,185,0,0
"ALARM CLOCK BAKELIKE GREEN + ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE ORANGE",0.01138,0.325,0.03502,13.34545,208,0,0
"REGENCY TEA PLATE ROSES + ROSES REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER",0.01111,0.73818,0.01505,13.31569,203,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG RED RETROSPOT","RED RETROSPOT CHARLOTTE BAG",0.01417,0.75072,0.01888,13.29263,259,0,0
"LUNCH BAG  BLACK SKULL. + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.01231,0.6392,0.01926,13.28804,225,0,0
"LUNCH BAG CARS BLUE + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01078,0.74905,0.01439,13.26297,197,0,0
"JUMBO BAG PEARS + JUMBO BAG RED RETROSPOT","JUMBO BAG VINTAGE LEAF",0.01012,0.63793,0.01587,13.26156,185,0,0
"ALARM CLOCK BAKELIKE GREEN + ALARM CLOCK BAKELIKE ORANGE","ALARM CLOCK BAKELIKE RED",0.01138,0.7619,0.01494,13.25932,208,0,0
"ROUND SNACK BOXES SET OF4 WOODLAND","ROUND SNACK BOXES SET OF 4 FRUITS",0.01686,0.42077,0.04006,13.25627,308,0,0
"ROUND SNACK BOXES SET OF 4 FRUITS","ROUND SNACK BOXES SET OF4 WOODLAND",0.01686,0.53103,0.03174,13.25627,308,0,0
"CHARLOTTE BAG APPLES DESIGN + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01182,0.74483,0.01587,13.18821,216,0,0
"LUNCH BAG RED RETROSPOT + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01259,0.74434,0.01691,13.17952,230,0,0
"CHARLOTTE BAG APPLES DESIGN + CHARLOTTE BAG SUKI DESIGN","RED RETROSPOT CHARLOTTE BAG",0.0122,0.74333,0.01642,13.16175,223,0,0
"PLASTERS IN TIN SPACEBOY","PLASTERS IN TIN WOODLAND ANIMALS",0.01861,0.5052,0.03683,13.11297,340,0,0
"PLASTERS IN TIN WOODLAND ANIMALS","PLASTERS IN TIN SPACEBOY",0.01861,0.48295,0.03853,13.11297,340,0,0
"CHARLOTTE BAG PINK POLKADOT + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG SUKI DESIGN",0.018,0.63027,0.02857,13.10226,329,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG SUKI DESIGN","WOODLAND CHARLOTTE BAG",0.01089,0.59581,0.01828,13.08558,199,0,0
"ALARM CLOCK BAKELIKE GREEN + ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE IVORY",0.01423,0.40625,0.03502,13.06938,260,0,0
"60 CAKE CASES VINTAGE CHRISTMAS","SET OF 20 VINTAGE CHRISTMAS NAPKINS",0.01478,0.43619,0.03388,13.06632,270,0,0
"SET OF 20 VINTAGE CHRISTMAS NAPKINS","60 CAKE CASES VINTAGE CHRISTMAS",0.01478,0.44262,0.03338,13.06632,270,0,0
"ALARM CLOCK BAKELIKE IVORY + ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE GREEN",0.01423,0.69705,0.02041,13.06381,260,0,0
"CHARLOTTE BAG SUKI DESIGN + LUNCH BAG  BLACK SKULL.","RED RETROSPOT CHARLOTTE BAG",0.01231,0.7377,0.01669,13.06209,225,0,0
"JUMBO BAG PINK POLKADOT + JUMBO BAG PINK VINTAGE PAISLEY","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.01193,0.5752,0.02074,13.05663,218,0,0
"SET/20 RED RETROSPOT PAPER NAPKINS","SET/6 RED SPOTTY PAPER PLATES",0.02025,0.3764,0.0538,13.05111,370,0,0
"SET/6 RED SPOTTY PAPER PLATES","SET/20 RED RETROSPOT PAPER NAPKINS",0.02025,0.70209,0.02884,13.05111,370,0,0
"CHARLOTTE BAG SUKI DESIGN + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01839,0.73684,0.02495,13.04682,336,0,0
"JUMBO BAG PEARS + JUMBO BAG VINTAGE DOILY","JUMBO BAG VINTAGE LEAF",0.0127,0.62703,0.02025,13.03489,232,0,0
"ALARM CLOCK BAKELIKE GREEN + ALARM CLOCK BAKELIKE PINK","ALARM CLOCK BAKELIKE RED",0.01713,0.7488,0.02288,13.03133,313,0,0
"ROSES REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER",0.04197,0.72222,0.05812,13.02781,767,0,0
"GREEN REGENCY TEACUP AND SAUCER","ROSES REGENCY TEACUP AND SAUCER",0.04197,0.75716,0.05544,13.02781,767,0,0
"ALARM CLOCK BAKELIKE IVORY + ALARM CLOCK BAKELIKE PINK","ALARM CLOCK BAKELIKE RED",0.01127,0.74638,0.0151,12.98909,206,0,0
"STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG PINK POLKADOT",0.02074,0.52493,0.03951,12.9273,379,0,0
"CHARLOTTE BAG PINK POLKADOT","STRAWBERRY CHARLOTTE BAG",0.02074,0.51078,0.04061,12.9273,379,0,0
"SET/6 RED SPOTTY PAPER CUPS","SET/20 RED RETROSPOT PAPER NAPKINS",0.0162,0.69484,0.02331,12.91631,296,0,0
"SET/20 RED RETROSPOT PAPER NAPKINS","SET/6 RED SPOTTY PAPER CUPS",0.0162,0.30112,0.0538,12.91631,296,0,0
"ALARM CLOCK BAKELIKE ORANGE + ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE GREEN",0.01138,0.68874,0.01653,12.90808,208,0,0
"ALARM CLOCK BAKELIKE IVORY + ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE PINK",0.01127,0.55228,0.02041,12.88862,206,0,0
"PLASTERS IN TIN CIRCUS PARADE","PLASTERS IN TIN WOODLAND ANIMALS",0.01549,0.49562,0.03125,12.86434,283,0,0
"PLASTERS IN TIN WOODLAND ANIMALS","PLASTERS IN TIN CIRCUS PARADE",0.01549,0.40199,0.03853,12.86434,283,0,0
"SPACEBOY LUNCH BOX","DOLLY GIRL LUNCH BOX",0.02944,0.59778,0.04925,12.85082,538,0,0
"DOLLY GIRL LUNCH BOX","SPACEBOY LUNCH BOX",0.02944,0.63294,0.04652,12.85082,538,0,0
"CHARLOTTE BAG PINK POLKADOT + RED RETROSPOT CHARLOTTE BAG","CHARLOTTE BAG APPLES DESIGN",0.01171,0.40996,0.02857,12.84945,214,0,0
"JUMBO BAG APPLES + JUMBO BAG RED RETROSPOT","JUMBO BAG PEARS",0.01248,0.41758,0.02988,12.84593,228,0,0
"LUNCH BAG RED RETROSPOT + RED RETROSPOT CHARLOTTE BAG","WOODLAND CHARLOTTE BAG",0.01259,0.58376,0.02156,12.82089,230,0,0
"LUNCH BAG APPLE DESIGN + LUNCH BAG VINTAGE LEAF DESIGN","LUNCH BAG ALPHABET DESIGN",0.01023,0.51801,0.01976,12.80855,187,0,0
"JUMBO BAG PEARS","JUMBO BAG APPLES",0.02222,0.6835,0.03251,12.79675,406,0,0
"JUMBO BAG APPLES","JUMBO BAG PEARS",0.02222,0.41598,0.05341,12.79675,406,0,0
"CHOCOLATE HOT WATER BOTTLE","HOT WATER BOTTLE I AM SO POORLY",0.02145,0.46009,0.04663,12.79649,392,0,0
"HOT WATER BOTTLE I AM SO POORLY","CHOCOLATE HOT WATER BOTTLE",0.02145,0.59665,0.03595,12.79649,392,0,0
"LUNCH BAG SUKI DESIGN + WOODLAND CHARLOTTE BAG","RED RETROSPOT CHARLOTTE BAG",0.01084,0.72263,0.01499,12.79513,198,0,0
